benchmark,endpoint,task,representation,learner,metric,score,auroc,auprc,balanced_accuracy,accuracy,macro_f1,mae,r2,n_samples,n_classes,n_features,n_folds,folds,repeats,oof_aggregate,split_strategy,tuning,linear_solver,xgb_tree_method,delta_vs_standard,cache_key,oof_prediction_file,fold_metrics_file,optuna_trials_completed,landmark_mode,n_landmarks,base_sigma,sigma_multiplier,kernel_sigma,cache_status,optuna_study_name,kme_version,kme_config_id,sigma_strategy,sigma_multipliers_selected,modality_strategy,landmark_sampling,kernel_weighting,inventory_cache_key,optuna_storage_backend
mc3_main,HRD_Score,regression,burden_only,linear,spearman,0.540086679542279,,,,,,13.9871283306359,0.1887816139528539,772,85,1,5,5.0,1.0,True,5-fold KFold,none,elastic_net_coordinate_descent_v1,,,one_hot_event_inventory_mc3_main_570799e5e1c4a29dc6b74308,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,0.0,,,,,,,,,,,,,,,,
mc3_main,HRD_Score,regression,burden_only,xgboost,spearman,0.5695831512490357,,,,,,12.716328336784876,0.3114930943454089,772,85,1,5,5.0,1.0,True,5-fold KFold,none,,gpu_hist,,one_hot_event_inventory_mc3_main_0ef666426351560e50c45848,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,0.0,,,,,,,,,,,,,,,,
mc3_main,hrd_binary_33,binary,burden_only,linear,auroc,0.6873431194992532,0.6873431194992532,0.4263585685088181,0.6069567565850094,0.6204663212435233,0.5898256093337177,,,772,2,1,5,5.0,1.0,True,5-fold StratifiedKFold,none,sgd_log_loss_elasticnet_v1,,,one_hot_event_inventory_mc3_main_0ef666426351560e50c45848,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,0.0,,,,,,,,,,,,,,,,
mc3_main,hrd_binary_33,binary,burden_only,xgboost,auroc,0.7910669462714072,0.7910669462714072,0.5492881543695197,0.753193213230388,0.7266839378238342,0.7115194233647095,,,772,2,1,5,5.0,1.0,True,5-fold StratifiedKFold,none,,gpu_hist,,one_hot_event_inventory_mc3_main_0ef666426351560e50c45848,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,0.0,,,,,,,,,,,,,,,,
mc3_main,cancer_type_top10,multiclass,burden_only,linear,macro_auroc,0.7477568091113089,0.7477568091113089,,0.2696071737058384,0.2557671182716953,0.228833616375887,,,5462,10,1,5,5.0,1.0,True,5-fold StratifiedKFold,none,sgd_log_loss_elasticnet_v1,,,one_hot_event_inventory_mc3_main_0ef666426351560e50c45848,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,0.0,,,,,,,,,,,,,,,,
mc3_main,cancer_type_top10,multiclass,burden_only,xgboost,macro_auroc,0.793608137889547,0.793608137889547,,0.3152648112615336,0.3478579274990845,0.262549331905652,,,5462,10,1,5,5.0,1.0,True,5-fold StratifiedKFold,none,,gpu_hist,,one_hot_event_inventory_mc3_main_0ef666426351560e50c45848,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,0.0,,,,,,,,,,,,,,,,
mc3_main,os_event,binary,burden_only,linear,auroc,0.5877620403295827,0.5877620403295827,0.3524177127265456,0.5642904444102856,0.5440378735575501,0.5310077408851972,,,10139,2,1,5,5.0,1.0,True,5-fold StratifiedKFold,none,sgd_log_loss_elasticnet_v1,,,one_hot_event_inventory_mc3_main_0ef666426351560e50c45848,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,0.0,,,,,,,,,,,,,,,,
mc3_main,os_event,binary,burden_only,xgboost,auroc,0.6111190375467853,0.6111190375467853,0.3680164429889413,0.5891686455019689,0.4939343130486241,0.4937886335157206,,,10139,2,1,5,5.0,1.0,True,5-fold StratifiedKFold,none,,gpu_hist,,one_hot_event_inventory_mc3_main_0ef666426351560e50c45848,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,0.0,,,,,,,,,,,,,,,,
kucab_damage_class,damage_class,multiclass_grouped,burden_only,linear,macro_auroc,0.4594700024996611,0.4594700024996611,,0.1075708701484876,0.1351351351351351,0.1025871732039962,,,259,8,1,5,5.0,1.0,True,5-fold StratifiedGroupKFold grouped by agent_core,none,sgd_log_loss_elasticnet_v1,,,one_hot_event_inventory_kucab_damage_class_d1b2510099145a6fb4d350fe,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,0.0,,,,,,,,,,,,,,,,
kucab_damage_class,damage_class,multiclass_grouped,burden_only,xgboost,macro_auroc,0.4587688301509167,0.4587688301509167,,0.1697383567680661,0.2548262548262548,0.1352033416395118,,,259,8,1,5,5.0,1.0,True,5-fold StratifiedGroupKFold grouped by agent_core,none,,gpu_hist,,one_hot_event_inventory_kucab_damage_class_d1b2510099145a6fb4d350fe,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,0.0,,,,,,,,,,,,,,,,
mc3_hrd33,hrd_binary_33,binary,standard_sbs96_dbs78_id83,linear,auroc,0.7920201442506276,,,0.7400152511676675,0.7487046632124352,0.7213203825685683,,,772,2,261,5,,,,5-fold StratifiedKFold,none,,,0.0,,,,,,,,,,,,,,,,,,,,
mc3_hrd33,hrd_binary_33,binary,standard_sbs96_dbs78_id83,xgboost,auroc,0.8743764496552601,,,0.797072093540495,0.8147668393782384,0.7873954030293402,,,772,2,261,5,,,,5-fold StratifiedKFold,none,,,0.0,,,,,,,,,,,,,,,,,,,,
kucab_damage_class,damage_class,multiclass_grouped,standard_sbs96_dbs78_id83,linear,macro_auroc,0.5834172029355458,,,0.2226363616416271,0.3281853281853282,0.2154683548994673,,,259,8,261,5,,,,5-fold StratifiedGroupKFold grouped by agent_core,none,,,0.0,,,,,,,,,,,,,,,,,,,,
kucab_damage_class,damage_class,multiclass_grouped,standard_sbs96_dbs78_id83,xgboost,macro_auroc,0.6512250266350554,,,0.2437008681545258,0.3436293436293436,0.2351008165847577,,,259,8,261,5,,,,5-fold StratifiedGroupKFold grouped by agent_core,none,,,0.0,,,,,,,,,,,,,,,,,,,,
mc3_main,HRD_Score,regression,standard_sbs96_dbs78_id83,linear,spearman,0.5286534973339886,,,,,,12.869665150815342,0.3385417294140238,772,85,261,5,5.0,1.0,True,5-fold KFold,none,elastic_net_coordinate_descent_v1,,0.0,one_hot_event_inventory_mc3_main_570799e5e1c4a29dc6b74308,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,0.0,,,,,,,,,,,,,,,,
mc3_main,HRD_Score,regression,standard_sbs96_dbs78_id83,xgboost,spearman,0.6853555252176136,,,,,,10.328477462956323,0.5745038804223328,772,85,261,5,5.0,1.0,True,5-fold KFold,none,,gpu_hist,0.0,one_hot_event_inventory_mc3_main_0ef666426351560e50c45848,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,0.0,,,,,,,,,,,,,,,,
mc3_main,hrd_binary_33,binary,standard_sbs96_dbs78_id83,linear,auroc,0.7307930607187113,0.7307930607187113,0.502563914359874,0.6749753757188701,0.6917098445595855,0.6593317758742167,,,772,2,261,5,5.0,1.0,True,5-fold StratifiedKFold,none,sgd_log_loss_elasticnet_v1,,0.0,one_hot_event_inventory_mc3_main_0ef666426351560e50c45848,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,0.0,,,,,,,,,,,,,,,,
mc3_main,hrd_binary_33,binary,standard_sbs96_dbs78_id83,xgboost,auroc,0.8839878626123979,0.8839878626123979,0.7830842034937354,0.8035776697486734,0.8238341968911918,0.7962617983109787,,,772,2,261,5,5.0,1.0,True,5-fold StratifiedKFold,none,,gpu_hist,0.0,one_hot_event_inventory_mc3_main_0ef666426351560e50c45848,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,0.0,,,,,,,,,,,,,,,,
mc3_main,cancer_type_top10,multiclass,standard_sbs96_dbs78_id83,linear,macro_auroc,0.8764440719964023,0.8764440719964023,,0.5000233217834756,0.5067740754302453,0.522170012895552,,,5462,10,261,5,5.0,1.0,True,5-fold StratifiedKFold,none,sgd_log_loss_elasticnet_v1,,0.0,one_hot_event_inventory_mc3_main_0ef666426351560e50c45848,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,0.0,,,,,,,,,,,,,,,,
mc3_main,cancer_type_top10,multiclass,standard_sbs96_dbs78_id83,xgboost,macro_auroc,0.9236815788745992,0.9236815788745992,,0.6273913203779335,0.6329183449285976,0.6355587980442847,,,5462,10,261,5,5.0,1.0,True,5-fold StratifiedKFold,none,,gpu_hist,0.0,one_hot_event_inventory_mc3_main_0ef666426351560e50c45848,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,0.0,,,,,,,,,,,,,,,,
